UV;IR;VIS;Time
0.02;254;258;1517982990
0.02;255;270;1517983020
0.0;254;254;1517983050
0.0;252;252;1517983080
0.0;254;267;1517983110
0.0;251;249;1517983140
0.0;254;258;1517983170
0.04;255;263;1517983200
0.0;255;264;1517983230
0.0;255;254;1517983260
0.0;252;259;1517983290
0.01;256;263;1517983320
0.01;253;261;1517983350
0.0;254;262;1517983380
0.0;256;261;1517983410
0.0;254;260;1517983440
0.0;255;262;1517983470
0.0;254;258;1517983500
0.02;253;254;1517983530
0.02;249;254;1517983560
0.0;252;261;1517983590
0.02;253;256;1517983620
0.04;253;266;1517983650
0.0;253;256;1517983680
0.03;252;263;1517983710
0.02;255;251;1517983740
0.0;253;270;1517983770
0.0;255;258;1517983800
0.0;255;263;1517983830
0.06;252;258;1517983860
0.0;254;260;1517983890
0.0;255;245;1517983920
0.01;255;249;1517983950
0.0;254;255;1517983980
0.0;254;260;1517984010
0.0;254;253;1517984040
0.03;256;258;1517984070
0.03;253;250;1517984100
0.0;253;249;1517984130
0.03;256;264;1517984160
0.01;249;259;1517984190
0.0;256;263;1517984220
0.0;255;268;1517984250
0.03;253;255;1517984280
0.03;251;252;1517984310
0.01;255;260;1517984340
0.0;249;260;1517984370
0.0;248;248;1517984400
0.0;256;249;1517984430
0.0;252;255;1517984460
0.02;255;277;1517984490
0.01;256;257;1517984520
0.0;259;254;1517984550
0.03;258;254;1517984580
0.05;259;262;1517984610
0.0;255;260;1517984640
0.05;256;251;1517984670
0.01;256;256;1517984700
0.01;253;261;1517984730
0.06;256;253;1517984760
0.0;254;258;1517984790
0.0;252;256;1517984820
0.06;255;262;1517984850
0.0;255;258;1517984880
0.0;254;243;1517984910
0.05;258;254;1517984940
0.03;253;270;1517984970
0.0;253;252;1517985000
0.04;254;258;1517985030
0.01;258;256;1517985060
0.0;253;261;1517985090
0.01;253;267;1517985120
0.0;257;268;1517985150
0.0;254;262;1517985180
0.0;252;257;1517985210
0.03;254;262;1517985240
0.04;253;251;1517985270
0.03;255;262;1517985300
0.0;255;248;1517985330
0.0;256;259;1517985360
0.02;251;261;1517985390
0.07;255;244;1517985420
0.02;251;270;1517985450
0.0;255;255;1517985480
0.0;256;245;1517985510
0.0;254;269;1517985540
0.0;257;256;1517985570
0.02;253;259;1517985600
0.04;255;253;1517985630
0.05;252;243;1517985660
0.02;253;274;1517985690
0.0;255;261;1517985720
0.0;252;257;1517985750
0.01;258;253;1517985780
0.0;254;258;1517985810
0.01;254;269;1517985840
0.03;254;272;1517985870
0.02;253;256;1517985900
0.02;257;261;1517985930
0.0;252;270;1517985960
0.0;250;254;1517985990
0.04;255;242;1517986020
0.0;254;248;1517986050
0.0;255;270;1517986080
0.0;254;257;1517986110
0.0;257;260;1517986140
0.05;252;268;1517986170
0.01;252;257;1517986200
0.0;256;260;1517986230
0.03;258;259;1517986260
0.0;255;254;1517986290
0.04;253;250;1517986320
0.05;254;260;1517986350
0.0;252;259;1517986380
0.0;253;248;1517986410
0.0;254;256;1517986440
0.01;252;247;1517986470
0.0;254;250;1517986500
0.0;251;264;1517986530
0.0;255;259;1517986560
0.0;253;260;1517986590
0.0;254;253;1517986620
0.0;254;260;1517986650
0.0;252;254;1517986680
0.0;253;262;1517986710
0.0;254;263;1517986740
0.01;251;252;1517986770
0.07;251;257;1517986800
0.0;257;262;1517986830
0.02;256;261;1517986860
0.01;254;253;1517986890
0.02;254;252;1517986920
0.02;260;257;1517986950
0.0;252;262;1517986980
0.03;254;266;1517987010
0.03;255;259;1517987040
0.05;254;259;1517987070
0.0;251;270;1517987100
0.0;251;263;1517987130
0.0;257;262;1517987160
0.03;254;257;1517987190
0.01;259;259;1517987220
0.01;251;257;1517987250
0.04;255;256;1517987280
0.01;256;263;1517987310
0.03;257;264;1517987340
0.0;258;263;1517987370
0.0;253;253;1517987400
0.02;248;246;1517987430
0.02;247;247;1517987460
0.04;250;250;1517987490
0.0;256;267;1517987520
0.0;254;257;1517987550
0.02;254;259;1517987580
0.06;251;250;1517987610
0.07;251;263;1517987640
0.04;256;252;1517987670
0.0;255;252;1517987700
0.0;255;262;1517987730
0.03;254;259;1517987760
0.0;255;262;1517987790
0.0;257;263;1517987820
0.0;260;258;1517987850
0.05;253;247;1517987880
0.0;253;269;1517987910
0.01;259;256;1517987940
0.01;254;260;1517987970
0.06;248;261;1517988000
0.03;253;256;1517988030
0.02;252;251;1517988060
0.0;253;261;1517988090
0.02;252;262;1517988120
0.07;257;264;1517988150
0.0;252;258;1517988180
0.0;251;264;1517988210
0.0;253;251;1517988240
0.0;257;269;1517988270
0.01;252;263;1517988300
0.04;257;255;1517988330
0.0;252;263;1517988360
0.09;258;262;1517988390
0.01;251;265;1517988420
0.0;255;267;1517988450
0.0;257;253;1517988480
0.0;253;270;1517988510
0.05;254;261;1517988540
0.01;257;257;1517988570
0.01;253;252;1517988600
0.02;256;249;1517988630
0.0;252;251;1517988660
0.0;253;264;1517988690
0.0;255;256;1517988720
0.0;253;253;1517988750
0.05;257;261;1517988780
0.0;257;250;1517988810
0.0;254;257;1517988840
0.0;254;249;1517988870
0.0;257;260;1517988900
0.02;256;252;1517988930
0.0;257;263;1517988960
0.0;254;254;1517988990
0.03;254;250;1517989020
0.01;255;262;1517989050
0.02;253;267;1517989080
0.03;253;265;1517989110
0.0;256;255;1517989140
0.01;253;256;1517989170
0.04;256;249;1517989200
0.0;255;249;1517989230
0.0;256;262;1517989260
0.0;257;261;1517989290
0.01;257;254;1517989320
0.0;256;245;1517989350
0.02;253;257;1517989380
0.0;252;257;1517989410
0.01;252;256;1517989440
0.01;253;254;1517989470
0.0;257;257;1517989500
0.0;256;243;1517989530
0.02;254;272;1517989560
0.03;254;257;1517989590
0.02;250;253;1517989620
0.01;256;262;1517989650
0.0;253;256;1517989680
0.0;256;258;1517989710
0.0;259;267;1517989740
0.0;255;261;1517989770
0.03;255;247;1517989800
0.01;257;270;1517989830
0.05;255;245;1517989860
0.01;250;257;1517989890
0.0;256;262;1517989920
0.02;251;259;1517989950
0.02;250;268;1517989980
0.01;251;255;1517990010
0.05;254;269;1517990040
0.02;253;259;1517990070
0.05;256;274;1517990100
0.0;255;247;1517990130
0.0;257;265;1517990160
0.03;260;262;1517990190
0.0;254;254;1517990220
0.0;253;250;1517990250
0.0;253;256;1517990280
0.0;258;261;1517990310
0.0;253;265;1517990340
0.0;254;260;1517990370
0.02;255;256;1517990400
0.02;253;244;1517990430
0.02;257;254;1517990460
0.0;253;247;1517990490
0.01;254;253;1517990520
0.02;258;261;1517990550
0.0;254;258;1517990580
0.0;252;257;1517990610
0.01;251;259;1517990640
0.0;254;261;1517990670
0.07;250;261;1517990700
0.0;252;249;1517990730
0.0;257;269;1517990760
0.04;256;253;1517990790
0.0;255;253;1517990820
0.02;254;266;1517990850
0.02;252;256;1517990880
0.0;257;260;1517990910
0.0;253;251;1517990940
0.0;253;254;1517990970
0.0;255;254;1517991000
0.01;256;259;1517991030
0.02;256;272;1517991060
0.0;256;248;1517991090
0.0;254;253;1517991120
0.0;254;257;1517991150
0.04;253;259;1517991180
0.0;254;264;1517991210
0.04;251;250;1517991240
0.03;254;265;1517991270
0.0;252;263;1517991300
0.0;255;265;1517991330
0.01;254;251;1517991360
0.0;249;254;1517991390
0.0;255;256;1517991420
0.01;255;281;1517991450
0.03;254;253;1517991480
0.01;250;265;1517991510
0.0;254;260;1517991540
0.0;254;254;1517991570
0.0;253;255;1517991600
0.0;252;256;1517991630
0.0;254;271;1517991660
0.02;254;247;1517991690
0.02;254;251;1517991720
0.02;253;245;1517991750
0.03;251;256;1517991780
0.0;255;265;1517991810
0.0;253;271;1517991840
0.0;253;264;1517991870
0.02;256;245;1517991900
0.0;252;263;1517991930
0.0;255;270;1517991960
0.03;256;264;1517991990
0.0;252;265;1517992020
0.0;255;255;1517992050
0.0;255;258;1517992080
0.02;255;248;1517992110
0.03;256;255;1517992140
0.0;251;258;1517992170
0.02;254;252;1517992200
0.02;254;260;1517992230
0.01;256;262;1517992260
0.03;253;270;1517992290
0.0;256;271;1517992320
0.04;256;256;1517992350
0.02;255;266;1517992380
0.0;252;259;1517992410
0.01;255;256;1517992440
0.03;253;263;1517992470
0.0;254;257;1517992500
0.0;256;257;1517992530
0.0;253;263;1517992560
0.01;254;253;1517992590
0.06;254;255;1517992620
0.06;251;259;1517992650
0.02;255;265;1517992680
0.0;253;259;1517992710
0.02;254;263;1517992740
0.02;254;268;1517992770
0.02;251;252;1517992800
0.0;253;255;1517992830
0.02;254;254;1517992860
0.0;256;263;1517992890
0.05;257;252;1517992920
0.01;253;251;1517992950
0.05;254;259;1517992980
0.0;254;257;1517993010
0.0;256;254;1517993040
0.03;255;257;1517993070
0.0;255;262;1517993100
0.0;251;277;1517993130
0.0;256;267;1517993160
0.0;253;255;1517993190
0.07;256;274;1517993220
0.01;257;261;1517993250
0.04;253;260;1517993280
0.0;254;260;1517993310
0.04;253;254;1517993340
0.0;253;251;1517993370
0.0;253;269;1517993400
